DC ID,DC Name,Delivery Date,Weekday,Time Scope,DC Capacity,Orders Delivered,Items Delivered,Service Type,State
DC_007,South Urban Hub DC_007,2026-04-22,Wednesday,Morning,331,216,665,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-22,Wednesday,Afternoon,560,319,1054,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-22,Wednesday,Evening,334,163,518,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-22,Wednesday,Morning,1184,151,484,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-22,Wednesday,Afternoon,1868,206,667,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-22,Wednesday,Evening,1076,117,394,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-22,Wednesday,Morning,324,163,574,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-22,Wednesday,Afternoon,546,312,990,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-22,Wednesday,Evening,378,181,521,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-22,Wednesday,Morning,89,84,266,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-22,Wednesday,Afternoon,146,155,439,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-22,Wednesday,Evening,77,76,231,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-22,Wednesday,Morning,472,425,1080,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-22,Wednesday,Afternoon,855,553,1606,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-22,Wednesday,Evening,487,320,987,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-22,Wednesday,Morning,545,329,1012,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-22,Wednesday,Afternoon,836,488,1542,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-22,Wednesday,Evening,552,322,914,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-22,Wednesday,Morning,275,177,560,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-22,Wednesday,Afternoon,628,287,1017,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-22,Wednesday,Evening,270,156,516,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-22,Wednesday,Morning,672,380,1196,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-22,Wednesday,Afternoon,1238,683,2393,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-22,Wednesday,Evening,610,416,1186,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-22,Wednesday,Morning,2769,262,917,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-22,Wednesday,Afternoon,4473,427,1289,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-22,Wednesday,Evening,1959,226,742,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-22,Wednesday,Morning,193,103,317,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-22,Wednesday,Afternoon,282,150,512,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-22,Wednesday,Evening,137,85,264,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-22,Wednesday,Morning,424,224,694,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-22,Wednesday,Afternoon,695,516,1378,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-22,Wednesday,Evening,247,161,496,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-22,Wednesday,Morning,203,109,348,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-22,Wednesday,Afternoon,284,171,511,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-22,Wednesday,Evening,135,86,266,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-22,Wednesday,Morning,633,410,1135,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-22,Wednesday,Afternoon,1034,619,1830,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-22,Wednesday,Evening,462,291,873,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-22,Wednesday,Morning,322,192,603,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-22,Wednesday,Afternoon,331,240,735,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-22,Wednesday,Evening,324,177,527,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-22,Wednesday,Morning,1128,169,499,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-22,Wednesday,Afternoon,2312,281,839,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-22,Wednesday,Evening,990,164,431,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-22,Wednesday,Morning,224,121,342,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-22,Wednesday,Afternoon,338,184,536,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-22,Wednesday,Evening,158,79,267,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-22,Wednesday,Morning,746,501,1426,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-22,Wednesday,Afternoon,1087,588,1818,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-22,Wednesday,Evening,603,378,1231,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-22,Wednesday,Morning,282,176,531,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-22,Wednesday,Afternoon,370,313,833,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-22,Wednesday,Evening,220,169,462,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-23,Thursday,Morning,405,237,722,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-23,Thursday,Afternoon,501,305,995,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-23,Thursday,Evening,383,211,660,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-23,Thursday,Morning,182,91,331,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-23,Thursday,Afternoon,324,171,539,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-23,Thursday,Evening,160,93,265,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-23,Thursday,Morning,244,254,825,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-23,Thursday,Afternoon,483,451,1338,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-23,Thursday,Evening,250,240,728,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-23,Thursday,Morning,737,424,1338,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-23,Thursday,Afternoon,1183,644,2185,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-23,Thursday,Evening,698,398,1125,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-23,Thursday,Morning,107,60,184,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-23,Thursday,Afternoon,147,98,310,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-23,Thursday,Evening,106,51,159,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-23,Thursday,Morning,680,74,268,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-23,Thursday,Afternoon,1059,154,441,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-23,Thursday,Evening,557,74,214,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-23,Thursday,Morning,363,249,705,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-23,Thursday,Afternoon,587,418,1115,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-23,Thursday,Evening,292,168,563,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-23,Thursday,Morning,1126,150,471,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-23,Thursday,Afternoon,1944,192,650,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-23,Thursday,Evening,1107,127,442,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-23,Thursday,Morning,375,262,752,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-23,Thursday,Afternoon,599,394,1184,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-23,Thursday,Evening,284,204,547,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-23,Thursday,Morning,113,100,318,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-23,Thursday,Afternoon,144,149,435,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-23,Thursday,Evening,68,72,249,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-23,Thursday,Morning,681,386,1277,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-23,Thursday,Afternoon,1175,659,2031,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-23,Thursday,Evening,424,244,884,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-23,Thursday,Morning,784,360,1170,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-23,Thursday,Afternoon,920,497,1617,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-23,Thursday,Evening,552,336,988,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-23,Thursday,Morning,410,262,739,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-23,Thursday,Afternoon,551,350,1069,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-23,Thursday,Evening,263,224,541,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-23,Thursday,Morning,797,448,1407,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-23,Thursday,Afternoon,1097,783,2287,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-23,Thursday,Evening,665,476,1273,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-23,Thursday,Morning,3282,342,1095,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-23,Thursday,Afternoon,3694,494,1470,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-23,Thursday,Evening,2566,274,844,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-23,Thursday,Morning,194,106,341,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-23,Thursday,Afternoon,320,177,582,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-23,Thursday,Evening,174,98,299,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-23,Thursday,Morning,496,271,870,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-23,Thursday,Afternoon,857,507,1362,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-23,Thursday,Evening,444,242,768,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-23,Thursday,Morning,216,129,356,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-23,Thursday,Afternoon,293,190,569,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-23,Thursday,Evening,144,92,258,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-23,Thursday,Morning,681,351,1183,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-23,Thursday,Afternoon,950,536,1604,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-23,Thursday,Evening,392,238,727,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-23,Thursday,Morning,471,213,724,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-23,Thursday,Afternoon,515,351,1085,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-23,Thursday,Evening,380,187,611,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-23,Thursday,Morning,1595,184,519,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-23,Thursday,Afternoon,2329,260,831,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-23,Thursday,Evening,1282,115,394,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-23,Thursday,Morning,255,139,430,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-23,Thursday,Afternoon,333,207,650,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-23,Thursday,Evening,208,117,363,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-23,Thursday,Morning,847,516,1550,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-23,Thursday,Afternoon,1242,825,2342,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-23,Thursday,Evening,809,452,1376,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-23,Thursday,Morning,319,241,619,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-23,Thursday,Afternoon,580,299,1019,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-23,Thursday,Evening,272,142,508,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-24,Friday,Morning,397,269,836,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-24,Friday,Afternoon,700,400,1325,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-24,Friday,Evening,396,229,673,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-24,Friday,Morning,204,114,375,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-24,Friday,Afternoon,362,211,616,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-24,Friday,Evening,122,86,274,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-24,Friday,Morning,344,299,928,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-24,Friday,Afternoon,461,414,1394,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-24,Friday,Evening,313,310,881,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-24,Friday,Morning,577,373,1252,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-24,Friday,Afternoon,1060,690,1999,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-24,Friday,Evening,664,396,1202,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-24,Friday,Morning,117,71,216,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-24,Friday,Afternoon,153,88,309,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-24,Friday,Evening,89,59,179,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-24,Friday,Morning,689,90,284,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-24,Friday,Afternoon,1066,130,400,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-24,Friday,Evening,543,75,240,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-24,Friday,Morning,439,271,846,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-24,Friday,Afternoon,562,341,1057,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-24,Friday,Evening,318,187,565,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-24,Friday,Morning,1297,178,525,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-24,Friday,Afternoon,2077,332,791,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-24,Friday,Evening,951,152,407,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-24,Friday,Morning,337,251,729,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-24,Friday,Afternoon,661,309,1085,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-24,Friday,Evening,317,174,598,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-24,Friday,Morning,117,113,332,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-24,Friday,Afternoon,169,191,492,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-24,Friday,Evening,98,74,260,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-24,Friday,Morning,766,449,1313,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-24,Friday,Afternoon,982,491,1648,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-24,Friday,Evening,632,413,1271,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-24,Friday,Morning,686,324,1170,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-24,Friday,Afternoon,791,519,1790,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-24,Friday,Evening,494,296,869,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-24,Friday,Morning,406,197,758,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-24,Friday,Afternoon,545,321,1046,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-24,Friday,Evening,335,224,636,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-24,Friday,Morning,778,482,1534,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-24,Friday,Afternoon,1117,715,2385,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-24,Friday,Evening,765,432,1274,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-24,Friday,Morning,2451,326,973,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-24,Friday,Afternoon,4008,511,1374,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-24,Friday,Evening,2436,284,810,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-24,Friday,Morning,237,122,388,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-24,Friday,Afternoon,358,213,637,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-24,Friday,Evening,199,120,349,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-24,Friday,Morning,499,313,1018,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-24,Friday,Afternoon,985,435,1496,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-24,Friday,Evening,387,250,798,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-24,Friday,Morning,206,118,377,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-24,Friday,Afternoon,270,203,550,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-24,Friday,Evening,133,102,300,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-24,Friday,Morning,708,382,1217,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-24,Friday,Afternoon,949,529,1752,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-24,Friday,Evening,483,295,976,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-24,Friday,Morning,403,196,767,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-24,Friday,Afternoon,594,399,1151,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-24,Friday,Evening,274,166,585,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-24,Friday,Morning,1668,250,695,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-24,Friday,Afternoon,2842,355,969,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-24,Friday,Evening,1297,159,528,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-24,Friday,Morning,237,164,468,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-24,Friday,Afternoon,417,258,670,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-24,Friday,Evening,228,120,398,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-24,Friday,Morning,997,542,1761,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-24,Friday,Afternoon,1489,734,2298,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-24,Friday,Evening,721,361,1297,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-24,Friday,Morning,298,204,580,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-24,Friday,Afternoon,550,333,1064,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-24,Friday,Evening,293,153,509,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-25,Saturday,Morning,517,354,1017,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-25,Saturday,Afternoon,592,439,1373,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-25,Saturday,Evening,475,268,829,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-25,Saturday,Morning,206,138,402,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-25,Saturday,Afternoon,261,158,537,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-25,Saturday,Evening,162,114,358,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-25,Saturday,Morning,256,274,897,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-25,Saturday,Afternoon,455,394,1269,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-25,Saturday,Evening,244,224,754,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-25,Saturday,Morning,694,562,1471,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-25,Saturday,Afternoon,1059,781,2123,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-25,Saturday,Evening,635,353,1095,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-25,Saturday,Morning,107,83,239,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-25,Saturday,Afternoon,167,104,331,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-25,Saturday,Evening,94,52,182,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-25,Saturday,Morning,981,103,341,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-25,Saturday,Afternoon,1262,149,504,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-25,Saturday,Evening,671,85,265,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-25,Saturday,Morning,357,227,666,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-25,Saturday,Afternoon,504,334,1078,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-25,Saturday,Evening,372,208,660,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-25,Saturday,Morning,1728,199,616,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-25,Saturday,Afternoon,2908,297,916,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-25,Saturday,Evening,1201,154,459,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-25,Saturday,Morning,338,249,753,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-25,Saturday,Afternoon,510,386,1143,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-25,Saturday,Evening,378,200,710,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-25,Saturday,Morning,108,112,345,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-25,Saturday,Afternoon,148,139,462,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-25,Saturday,Evening,90,89,270,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-25,Saturday,Morning,685,491,1439,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-25,Saturday,Afternoon,972,544,1892,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-25,Saturday,Evening,734,400,1213,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-25,Saturday,Morning,631,330,1155,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-25,Saturday,Afternoon,1047,573,1659,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-25,Saturday,Evening,534,331,1064,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-25,Saturday,Morning,552,253,859,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-25,Saturday,Afternoon,571,415,1149,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-25,Saturday,Evening,341,193,655,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-25,Saturday,Morning,726,483,1367,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-25,Saturday,Afternoon,1210,714,2444,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-25,Saturday,Evening,610,363,1249,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-25,Saturday,Morning,2158,265,886,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-25,Saturday,Afternoon,4379,449,1498,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-25,Saturday,Evening,2018,249,768,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-25,Saturday,Morning,250,151,442,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-25,Saturday,Afternoon,307,172,632,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-25,Saturday,Evening,158,108,306,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-25,Saturday,Morning,606,353,1034,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-25,Saturday,Afternoon,733,430,1367,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-25,Saturday,Evening,441,299,828,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-25,Saturday,Morning,222,122,415,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-25,Saturday,Afternoon,349,179,555,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-25,Saturday,Evening,189,118,360,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-25,Saturday,Morning,547,423,1204,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-25,Saturday,Afternoon,922,693,1828,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-25,Saturday,Evening,596,357,1188,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-25,Saturday,Morning,412,269,761,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-25,Saturday,Afternoon,635,335,1081,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-25,Saturday,Evening,301,202,646,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-25,Saturday,Morning,1849,234,696,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-25,Saturday,Afternoon,2705,319,1009,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-25,Saturday,Evening,1394,152,494,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-25,Saturday,Morning,296,154,503,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-25,Saturday,Afternoon,358,195,674,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-25,Saturday,Evening,206,116,417,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-25,Saturday,Morning,925,539,1572,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-25,Saturday,Afternoon,1688,803,2448,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-25,Saturday,Evening,657,416,1328,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-25,Saturday,Morning,326,197,648,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-25,Saturday,Afternoon,536,377,958,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-25,Saturday,Evening,297,166,518,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-26,Sunday,Morning,475,304,848,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-26,Sunday,Afternoon,713,436,1395,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-26,Sunday,Evening,479,260,765,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-26,Sunday,Morning,182,106,329,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-26,Sunday,Afternoon,281,199,568,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-26,Sunday,Evening,150,103,299,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-26,Sunday,Morning,0,0,0,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-26,Sunday,Afternoon,0,0,0,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-26,Sunday,Evening,0,0,0,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-26,Sunday,Morning,703,378,1229,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-26,Sunday,Afternoon,965,578,1842,Urban Hub,West
